ch1_1,ch2_1,ch3_1,ch4_1,ch5_1,ch6_1,ch7_1,ch8_1,ch9_1,ch10_1,ch11_1,ch12_1,hKey_1,ch1_2,ch2_2,ch3_2,ch4_2,ch5_2,ch6_2,ch7_2,ch8_2,ch9_2,ch10_2,ch11_2,ch12_2,hKey_2,counter,temp,wIdx,rIdx,tailsymb,file_index,timestamp,packet_len
2130.050659,2110.519409,1993.331909,1993.331909,1758.19397,1308.97522,1406.63147,2344.894409,996.4752197,3672.25647,2911.300659,4433.97522,0,2071.456909,2051.925659,2012.863159,1973.800659,1680.06897,1289.44397,1621.47522,2403.488159,859.7564697,3613.66272,2891.769409,4492.56897,0,3969851424,627.4414063,48646,30752,3a3a,0,,64
2130.050659,2071.456909,1954.269409,1954.269409,1562.88147,1074.60022,1465.22522,2383.956909,488.6627197,3711.31897,2911.300659,4512.10022,0,2110.519409,2051.925659,1993.331909,1993.331909,1582.41272,1016.00647,1367.56897,2364.425659,547.2564697,3496.47522,2911.300659,4492.56897,0,4003405856,627.4414063,56838,30752,3a3a,0,,64
2090.988159,2090.988159,2012.863159,1973.800659,1601.94397,1172.25647,1387.10022,2364.425659,664.4439697,3750.38147,2930.831909,4531.63147,0,2110.519409,2110.519409,1973.800659,1993.331909,1504.28772,1172.25647,1406.63147,2383.956909,605.8502197,3750.38147,2891.769409,4453.50647,0,4036960288,627.4414063,65030,30752,3a3a,0,,64
2090.988159,2032.394409,2032.394409,2012.863159,1484.75647,1016.00647,1348.03772,2383.956909,566.7877197,3711.31897,2930.831909,4473.03772,0,2110.519409,2032.394409,1973.800659,1973.800659,1680.06897,1230.85022,1406.63147,2403.488159,703.5064697,3574.60022,2950.363159,4512.10022,0,4070514720,627.4414063,7687,30752,3a3a,0,,64
2090.988159,2051.925659,1954.269409,1993.331909,1601.94397,1211.31897,1191.78772,2423.019409,683.9752197,3574.60022,2911.300659,4492.56897,0,2130.050659,2012.863159,1954.269409,1954.269409,1601.94397,1230.85022,1328.50647,2403.488159,605.8502197,3496.47522,2911.300659,4473.03772,0,4104069152,627.4414063,15879,30752,3a3a,0,,64
2090.988159,2071.456909,1954.269409,1954.269409,1562.88147,996.4752197,1230.85022,2423.019409,644.9127197,3574.60022,2911.300659,4512.10022,0,2130.050659,2032.394409,1993.331909,2012.863159,1562.88147,1094.13147,1465.22522,2423.019409,762.1002197,3711.31897,2930.831909,4492.56897,0,4137623584,627.4414063,24071,30752,3a3a,0,,64
2071.456909,2051.925659,1954.269409,2012.863159,1582.41272,1133.19397,1406.63147,2423.019409,644.9127197,3711.31897,2833.175659,4551.16272,0,2110.519409,2012.863159,1954.269409,2012.863159,1582.41272,1289.44397,1426.16272,2364.425659,625.3814697,3633.19397,2930.831909,4453.50647,0,4171178016,627.4414063,32263,40992,3a3a,0,,64
2110.519409,2071.456909,2032.394409,2012.863159,1582.41272,1152.72522,1387.10022,2344.894409,644.9127197,3730.85022,2852.706909,4512.10022,0,2130.050659,2012.863159,1993.331909,1973.800659,1504.28772,1191.78772,1426.16272,2403.488159,781.6314697,3633.19397,2872.238159,4473.03772,0,4204732448,627.4414063,40455,40992,3a3a,0,,64
2090.988159,2051.925659,1973.800659,1993.331909,1426.16272,1211.31897,1484.75647,2442.550659,703.5064697,3750.38147,2891.769409,4512.10022,0,2032.394409,2051.925659,2032.394409,1993.331909,1758.19397,1328.50647,1641.00647,2364.425659,937.8814697,3652.72522,2930.831909,4453.50647,0,4238286880,627.4414063,48647,40992,3a3a,0,,64
2051.925659,2032.394409,1954.269409,1993.331909,1465.22522,1133.19397,1289.44397,2403.488159,664.4439697,3730.85022,2930.831909,4512.10022,0,2110.519409,2071.456909,1973.800659,1993.331909,1680.06897,1308.97522,1601.94397,2364.425659,879.2877197,3711.31897,2872.238159,4492.56897,0,4271841312,627.4414063,56839,40992,3a3a,0,,64
2090.988159,2051.925659,1934.738159,1954.269409,1562.88147,1211.31897,1406.63147,2383.956909,547.2564697,3730.85022,2891.769409,4512.10022,0,2071.456909,2032.394409,1993.331909,2012.863159,1484.75647,1152.72522,1387.10022,2383.956909,508.1939697,3594.13147,2930.831909,4531.63147,0,547364896,627.4414063,65031,40992,3a3a,0,,64
2130.050659,2071.456909,2012.863159,1973.800659,1777.72522,1230.85022,1465.22522,2364.425659,976.9439697,3808.97522,2969.894409,4551.16272,0,2110.519409,2071.456909,1973.800659,2012.863159,1582.41272,1289.44397,1504.28772,2423.019409,742.5689697,3711.31897,3008.956909,4492.56897,0,44048416,627.4414063,7712,40992,3a3a,0,,64
2051.925659,2110.519409,2012.863159,2032.394409,1680.06897,1133.19397,1348.03772,2364.425659,762.1002197,3730.85022,2852.706909,4512.10022,0,2110.519409,2051.925659,1993.331909,1993.331909,1601.94397,1328.50647,1523.81897,2344.894409,918.3502197,3769.91272,2891.769409,4453.50647,0,77602848,627.4414063,15904,57376,3a3a,0,,64
2051.925659,2051.925659,2032.394409,1993.331909,1738.66272,1269.91272,1660.53772,2383.956909,957.4127197,3750.38147,2930.831909,4512.10022,0,2130.050659,2071.456909,1993.331909,1954.269409,1641.00647,1211.31897,1504.28772,2383.956909,762.1002197,3613.66272,2930.831909,4570.69397,0,111157280,627.4414063,24096,8193,3a3a,0,,64
2130.050659,2071.456909,2032.394409,1993.331909,1719.13147,1211.31897,1543.35022,2383.956909,859.7564697,3730.85022,2911.300659,4512.10022,0,2071.456909,2071.456909,1973.800659,1993.331909,1855.85022,1348.03772,1601.94397,2442.550659,840.2252197,3808.97522,2891.769409,4531.63147,0,144711712,627.4414063,32288,24577,3a3a,0,,64
2130.050659,2071.456909,2012.863159,2012.863159,1445.69397,1269.91272,1367.56897,2325.363159,586.3189697,3516.00647,2911.300659,4512.10022,0,2051.925659,2090.988159,2032.394409,1993.331909,1601.94397,1289.44397,1543.35022,2383.956909,898.8189697,3769.91272,2911.300659,4531.63147,0,178266144,627.4414063,40480,40961,3a3a,0,,64
2032.394409,2032.394409,1993.331909,2012.863159,1523.81897,1250.38147,1230.85022,2383.956909,723.0377197,3769.91272,2891.769409,4473.03772,0,2090.988159,2090.988159,1993.331909,1993.331909,1367.56897,1152.72522,1387.10022,2383.956909,664.4439697,3750.38147,2911.300659,4492.56897,0,211820576,627.4414063,48672,57345,3a3a,0,,64
2130.050659,2071.456909,1973.800659,1954.269409,1348.03772,1289.44397,1269.91272,2344.894409,644.9127197,3691.78772,2930.831909,4512.10022,0,2090.988159,2071.456909,2032.394409,2012.863159,1484.75647,1348.03772,1387.10022,2344.894409,996.4752197,3848.03772,2891.769409,4433.97522,0,245375008,627.4414063,56864,8194,3a3a,0,,64
