c1_a1,c1_a3,c1_a4,c1_a5,c1_a6,c1_a7,c1_a8,c1_a9,c1_aA,c1_aD,c1_aE,c1_aF,c2_a1,c2_a3,c2_a4,c2_a5,c2_a6,c2_a7,c2_a8,c2_a9,c2_aA,c2_aD,c2_aE,c2_aF,c3_a1,c3_a3,c3_a4,c3_a5,c3_a6,c3_a7,c3_a8,c3_a9,c3_aA,c4_a4,c4_a3,c4_aE,c4_a5,c4_a8,c4_a9,c4_aF,c5_a4,c5_a5,c5_aD,c5_aE,c6_a5,c6_a4,c6_aE,c6_aD,c7_a4,c7_a5,c7_aE,c7_aD,encoder_counter,mo1,mo2,counter,wIdx,rIdx,tailsymb,file_index,timestamp,packet_len
,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,,,,,,,,,,,,,,,,77.16796875,0,0,,,,,0,,200
4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.28515625,0,0,,,,,0,,200
,4999.92370605469,,12185,,,,,,,,,,4999.92370605469,,12156,,,,,,,,,,4999.92370605469,,12173,,,,,,17853.4050201416,,,,,,,18671.7246087646,,,,,18186.0680554199,,,44937.4673187256,,,,106.171875,32,0,,,,,0,,200
4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.11328125,32,0,,,,,0,,200
,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,,,,,,,,,,,,,,,,135.263671875,32,0,,,,,0,,200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,116,418740,3333,0,,200
4999.92370605469,,18663.6191162109,,,,,,,,,,4999.92370605469,,18229.4028125,,,,,,,,,,4999.92370605469,,18669.1398602295,,,,,,,,,,12179,,,,,12154,,,12195,,,,,31993,,,150.029296875,32,0,,,,,0,,200
,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,,,,,,,,,,,,,,,,164.00390625,32,0,,,,,0,,200
4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.12109375,32,0,,,,,0,,200
,4999.92370605469,,12185,,,,,,,,,,4999.92370605469,,12156,,,,,,,,,,4999.92370605469,,12173,,,,,,17853.4050201416,,,,,,,18671.7246087646,,,,,18186.0680554199,,,44937.4673187256,,,,193.0078125,0,16,,,,,0,,200
4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.685546875,0,16,,,,,0,,200
,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,,,,,,,,,,,,,,,,221.923828125,0,16,,,,,0,,200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214,216,418800,3333,0,,200
4999.92370605469,,18663.6191162109,,,,,,,,,,4999.92370605469,,18229.4028125,,,,,,,,,,4999.92370605469,,18669.1398602295,,,,,,,,,,12179,,,,,12154,,,12195,,,,,31993,,,237.12890625,0,16,,,,,0,,200
,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,,,,,,,,,,,,,,,,251.19140625,0,16,,,,,0,,200
4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.78125,0,16,,,,,0,,200
,4999.92370605469,,12185,,,,,,,,,,4999.92370605469,,12156,,,,,,,,,,4999.92370605469,,12173,,,,,,17853.4050201416,,,,,,,18671.7246087646,,,,,18186.0680554199,,,44937.4673187256,,,,280.01953125,32,16,,,,,0,,200
4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.43359375,32,16,,,,,0,,200
,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,,,,,,,,,,,,,,,,308.935546875,32,16,,,,,0,,200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,316,418860,3333,0,,200
4999.92370605469,,18663.6191162109,,,,,,,,,,4999.92370605469,,18229.4028125,,,,,,,,,,4999.92370605469,,18669.1398602295,,,,,,,,,,12179,,,,,12154,,,12195,,,,,31993,,,323.61328125,32,16,,,,,0,,200
,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,,,,,,,,,,,,,,,,338.291015625,32,16,,,,,0,,200
4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,,,,,,,,,,,,,,,,,352.265625,32,16,,,,,0,,200
,4999.92370605469,,12185,,,,,,,,,,4999.92370605469,,12156,,,,,,,,,,4999.92370605469,,12173,,,,,,17853.4050201416,,,,,,,18671.7246087646,,,,,18186.0680554199,,,44937.4673187256,,,,5.537109375,0,0,,,,,0,,200
4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.072265625,0,0,,,,,0,,200
,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,,,,,,,,,,,,,,,,34.1015625,0,0,,,,,0,,200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414,416,418920,3333,0,,200
4999.92370605469,,18663.6191162109,,,,,,,,,,4999.92370605469,,18229.4028125,,,,,,,,,,4999.92370605469,,18669.1398602295,,,,,,,,,,12179,,,,,12154,,,12195,,,,,31993,,,48.076171875,0,0,,,,,0,,200
,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,,,,,,,,,,,,,,,,63.28125,0,0,,,,,0,,200
4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.34375,0,0,,,,,0,,200
,4999.92370605469,,12185,,,,,,,,,,4999.92370605469,,12156,,,,,,,,,,4999.92370605469,,12173,,,,,,17853.4050201416,,,,,,,18671.7246087646,,,,,18186.0680554199,,,44937.4673187256,,,,92.28515625,0,0,,,,,0,,200
4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.083984375,32,0,,,,,0,,200
,4999.92370605469,,,,,,,,,,,,4999.92370605469,,,,,,,,,,,,4350.73852539062,,,,,,,,,,,,,,,,,,,,,,,,,,,121.025390625,32,0,,,,,0,,200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514,516,418980,3333,0,,200
2.44140625,,18663.6191162109,,,,,,,,,,1974.10583496094,,18229.4028125,,,,,,,,,,2015.60974121094,,18669.1398602295,,,,,,,,,,12179,,,,,12154,,,12195,,,,,7575,,,135.263671875,32,0,,,,,0,,200
,3223.95324707031,,,,,,,,,,,,2033.99658203125,,,,,,,,,,,,2.5177001953125,,,,,,,,,,,,,,,,,,,,,,,,,,,150.1171875,32,0,,,,,0,,200
712.58544921875,,,,,,,,,,,,728.1494140625,,,,,,,,,,,,4484.55810546875,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.091796875,32,0,,,,,0,,200
,3223.95324707031,,12185,,,,,,,,,,2.5177001953125,,12156,,,,,,,,,,15.411376953125,,12173,,,,,,17853.4050201416,,,,,,,18671.7246087646,,,,,18186.0680554199,,,40307.4158477783,,,,179.208984375,32,0,,,,,0,,200
1739.73083496094,,,,,,,,,,,,1897.35412597656,,,,,,,,,,,,2.6702880859375,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.0078125,0,16,,,,,0,,200
,1130.21850585938,,,,,,,,,,,,2021.94213867187,,,,,,,,,,,,4350.73852539062,,,,,,,,,,,,,,,,,,,,,,,,,,,207.7734375,0,16,,,,,0,,200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614,616,419040,3333,0,,200
0.0,,18663.6191162109,,,,,,,,,,1974.10583496094,,18229.4028125,,,,,,,,,,2015.60974121094,,18669.1398602295,,,,,,,,,,12179,,,,,12154,,,12195,,,,,7575,,,222.01171875,0,16,,,,,0,,200
,3223.95324707031,,,,,,,,,,,,2033.99658203125,,,,,,,,,,,,2.5177001953125,,,,,,,,,,,,,,,,,,,,,,,,,,,237.3046875,0,16,,,,,0,,200
712.58544921875,,,,,,,,,,,,728.1494140625,,,,,,,,,,,,4484.55810546875,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.19140625,0,16,,,,,0,,200
,3223.95324707031,,12185,,,,,,,,,,2.5177001953125,,12156,,,,,,,,,,91.0186767578125,,12173,,,,,,17853.4050201416,,,,,,,18671.7246087646,,,,,18186.0680554199,,,40307.4158477783,,,,265.869140625,0,16,,,,,0,,200
2970.19958496094,,,,,,,,,,,,1897.35412597656,,,,,,,,,,,,2.6702880859375,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.01953125,32,16,,,,,0,,200
,1130.21850585938,,,,,,,,,,,,2021.94213867187,,,,,,,,,,,,4350.73852539062,,,,,,,,,,,,,,,,,,,,,,,,,,,294.521484375,32,16,,,,,0,,200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714,716,419100,3333,0,,200
2.44140625,,18663.6191162109,,,,,,,,,,1974.10583496094,,18229.4028125,,,,,,,,,,2015.60974121094,,18669.1398602295,,,,,,,,,,12179,,,,,12154,,,12195,,,,,7575,,,308.935546875,32,16,,,,,0,,200
,3223.95324707031,,,,,,,,,,,,2033.99658203125,,,,,,,,,,,,2.5177001953125,,,,,,,,,,,,,,,,,,,,,,,,,,,323.701171875,32,16,,,,,0,,200
712.58544921875,,,,,,,,,,,,728.1494140625,,,,,,,,,,,,4484.55810546875,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.203125,32,16,,,,,0,,200
,3223.95324707031,,12185,,,,,,,,,,2.5177001953125,,12156,,,,,,,,,,166.397094726562,,12173,,,,,,17853.4050201416,,,,,,,18671.7246087646,,,,,18186.0680554199,,,40307.4158477783,,,,352.353515625,32,16,,,,,0,,200
2970.19958496094,,,,,,,,,,,,1897.35412597656,,,,,,,,,,,,2.6702880859375,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.85546875,0,0,,,,,0,,200
,1130.21850585938,,,,,,,,,,,,2021.94213867187,,,,,,,,,,,,4350.73852539062,,,,,,,,,,,,,,,,,,,,,,,,,,,20.390625,0,0,,,,,0,,200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,814,816,419160,3333,0,,200
0.0,,18663.6191162109,,,,,,,,,,1974.10583496094,,18229.4028125,,,,,,,,,,2015.60974121094,,18669.1398602295,,,,,,,,,,12179,,,,,12154,,,12195,,,,,7575,,,35.419921875,0,0,,,,,0,,200
,3223.95324707031,,,,,,,,,,,,2033.99658203125,,,,,,,,,,,,2.5177001953125,,,,,,,,,,,,,,,,,,,,,,,,,,,49.482421875,0,0,,,,,0,,200
712.58544921875,,,,,,,,,,,,728.1494140625,,,,,,,,,,,,4484.55810546875,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.599609375,0,0,,,,,0,,200
,3223.95324707031,,12185,,,,,,,,,,2.5177001953125,,12156,,,,,,,,,,241.928100585937,,12173,,,,,,17853.4050201416,,,,,,,18671.7246087646,,,,,18186.0680554199,,,40307.4158477783,,,,78.75,0,0,,,,,0,,200
1739.73083496094,,,,,,,,,,,,1897.35412597656,,,,,,,,,,,,2.6702880859375,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.69140625,0,0,,,,,0,,200
,1130.21850585938,,,,,,,,,,,,2021.94213867187,,,,,,,,,,,,4350.73852539062,,,,,,,,,,,,,,,,,,,,,,,,,,,107.578125,32,0,,,,,0,,200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,914,916,419220,3333,0,,200
2.44140625,,18663.6191162109,,,,,,,,,,1974.10583496094,,18229.4028125,,,,,,,,,,2015.60974121094,,18669.1398602295,,,,,,,,,,12179,,,,,12154,,,12195,,,,,7575,,,122.51953125,32,0,,,,,0,,200
,3223.95324707031,,,,,,,,,,,,2033.99658203125,,,,,,,,,,,,2.5177001953125,,,,,,,,,,,,,,,,,,,,,,,,,,,136.58203125,32,0,,,,,0,,200
712.58544921875,,,,,,,,,,,,728.1494140625,,,,,,,,,,,,4484.55810546875,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.435546875,32,0,,,,,0,,200
,3223.95324707031,,12185,,,,,,,,,,2.5177001953125,,12156,,,,,,,,,,4.8828125,,12173,,,,,,17853.4050201416,,,,,,,18671.7246087646,,,,,18186.0680554199,,,40307.4158477783,,,,165.41015625,32,0,,,,,0,,200
